TITULO                                             | ID/SLUG                                  | URL
Hook                                               | hook                                     | https://movidex.lat/hook/
El caballero de los Siete Reinos                   | el-caballero-de-los-siete-reinos         | https://movidex.lat/el-caballero-de-los-siete-reinos/
El Vuelo                                           | el-vuelo                                 | https://movidex.lat/el-vuelo/
Batalla Aérea                                      | batalla-aerea                            | https://movidex.lat/batalla-aerea/
Las maldiciones                                    | las-maldiciones                          | https://movidex.lat/las-maldiciones/
Atracción peligrosa                                | atraccion-peligrosa                      | https://movidex.lat/atraccion-peligrosa/
Beso dinamita                                      | beso-dinamita                            | https://movidex.lat/beso-dinamita/
Bogotá: Tierra de últimas oportunidades            | bogota-tierra-de-ultimas-oportunidades   | https://movidex.lat/bogota-tierra-de-ultimas-oportunidades/
Anastasia                                          | anastasia                                | https://movidex.lat/anastasia/
Sobreviviente designado                            | sobreviviente-designado                  | https://movidex.lat/sobreviviente-designado/
Resident Evil: Apocalipsis                         | resident-evil-apocalipsis                | https://movidex.lat/resident-evil-apocalipsis/
Camina o muere                                     | camina-o-muere                           | https://movidex.lat/camina-o-muere/
Sexo/Vida                                          | sexo-vida                                | https://movidex.lat/sexo-vida/
El Hombre Gris                                     | el-hombre-gris                           | https://movidex.lat/el-hombre-gris/
Los Extraños Capítulo 1                            | los-extranos-capitulo-1                  | https://movidex.lat/los-extranos-capitulo-1/
Aileen: La reina de las asesinas en serie          | aileen-la-reina-de-las-asesinas-en-serie | https://movidex.lat/aileen-la-reina-de-las-asesinas-en-serie/
Cien años de soledad                               | cien-anos-de-soledad                     | https://movidex.lat/cien-anos-de-soledad/
Shadow Force: Sentencia de muerte                  | shadow-force-sentencia-de-muerte         | https://movidex.lat/shadow-force-sentencia-de-muerte/
El otro París                                      | el-otro-paris                            | https://movidex.lat/el-otro-paris/
Maxton Hall                                        | maxton-hall                              | https://movidex.lat/maxton-hall/
La Forma del Agua                                  | la-forma-del-agua                        | https://movidex.lat/la-forma-del-agua/
xXx 2: Estado de Emergencia                        | xxx-2-estado-de-emergencia               | https://movidex.lat/xxx-2-estado-de-emergencia/
The Rain                                           | the-rain                                 | https://movidex.lat/the-rain/
Real Madrid: hasta el final                        | real-madrid-hasta-el-final               | https://movidex.lat/real-madrid-hasta-el-final/
La oficina                                         | la-oficina                               | https://movidex.lat/la-oficina/
Juego sucio                                        | juego-sucio                              | https://movidex.lat/juego-sucio/
Exterminio                                         | exterminio                               | https://movidex.lat/exterminio/
Tríada                                             | triada                                   | https://movidex.lat/triada/
Outer Banks                                        | outer-banks                              | https://movidex.lat/outer-banks/
Alicia a través del espejo                         | alicia-a-traves-del-espejo               | https://movidex.lat/alicia-a-traves-del-espejo/
La nobleza de las flores                           | la-nobleza-de-las-flores                 | https://movidex.lat/la-nobleza-de-las-flores/
Monstruos vs Aliens                                | monstruos-vs-aliens                      | https://movidex.lat/monstruos-vs-aliens/
Mi villano favorito                                | mi-villano-favorito                      | https://movidex.lat/mi-villano-favorito/
La más fan                                         | la-mas-fan                               | https://movidex.lat/la-mas-fan/
Como Si Fuera Cierto                               | como-si-fuera-cierto                     | https://movidex.lat/como-si-fuera-cierto/
Una casa patas arriba                              | una-casa-patas-arriba                    | https://movidex.lat/una-casa-patas-arriba/
Tod y Toby 2                                       | tod-y-toby-2                             | https://movidex.lat/tod-y-toby-2/
13 fantasmas                                       | 13-fantasmas                             | https://movidex.lat/13-fantasmas/
El sur                                             | el-sur                                   | https://movidex.lat/el-sur/
Ángeles Caídos                                     | angeles-caidos                           | https://movidex.lat/angeles-caidos/
Stuart Little 2: La aventura continúa              | stuart-little-2-la-aventura-continua     | https://movidex.lat/stuart-little-2-la-aventura-continua/
Misión imposible                                   | mision-imposible                         | https://movidex.lat/mision-imposible/
Los niños perdidos                                 | los-ninos-perdidos                       | https://movidex.lat/los-ninos-perdidos/
Vals navideño en París                             | vals-navideno-en-paris                   | https://movidex.lat/vals-navideno-en-paris/
Cenicienta 3                                       | cenicienta-3                             | https://movidex.lat/cenicienta-3/
Tron: El Legado                                    | tron-el-legado                           | https://movidex.lat/tron-el-legado/
La Herencia                                        | la-herencia                              | https://movidex.lat/la-herencia/
Los Extraños: Capítulo 3                           | los-extranos-capitulo-3                  | https://movidex.lat/los-extranos-capitulo-3/
Las últimas vacaciones                             | las-ultimas-vacaciones                   | https://movidex.lat/las-ultimas-vacaciones/
Babe, el puerquito valiente                        | babe-el-puerquito-valiente               | https://movidex.lat/babe-el-puerquito-valiente/
Trampa en alta mar                                 | trampa-en-alta-mar                       | https://movidex.lat/trampa-en-alta-mar/
Antes de separarnos                                | antes-de-separarnos                      | https://movidex.lat/antes-de-separarnos/
Nadie sale con vida                                | nadie-sale-con-vida                      | https://movidex.lat/nadie-sale-con-vida/
La novia                                           | la-novia                                 | https://movidex.lat/la-novia/
Joy: El Nombre del Éxito                           | joy-el-nombre-del-exito                  | https://movidex.lat/joy-el-nombre-del-exito/
Ángeles del desierto                               | angeles-del-desierto                     | https://movidex.lat/angeles-del-desierto/
Bandida: La Número Uno                             | bandida-la-numero-uno                    | https://movidex.lat/bandida-la-numero-uno/
Cuando el cielo se equivoca                        | cuando-el-cielo-se-equivoca              | https://movidex.lat/cuando-el-cielo-se-equivoca/
